Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31043.0247718383,29430.8052387829,29687.5,32088.5653766486,34155.6194644637,34647.6040671872,36911.0541203923,37000.4736377532,36577.3959912414,37293.7732562334,40396.4066155545,41712.0692585299,42986.7502380197,46398.6366330765,49308.9499077482,44090.2684001459,43446.7733527427,45331.2494488158,,,,,
Afghanistan,AFG,2689.9796928777,2694.51687640262,2632.17932245566,3545.22411163301,3699.3799736748,4558.07120733751,6205.47128536294,7259.49000398163,5827.79942299129,5840.93436337686,7073.43400751547,7216.77759993694,6125.26564715397,6484.96435181698,7872.39172437928,8458.90218061766,8956.17777280732,10170.2404691687,11217.9323817807,12144.2624107639,12122.2458687371,13191.4055695309,,,,,,,,,,,,,,,,,,,,6390.53902415491,8438.18951049101,9741.93155203994,10472.9405626996,12422.2478438859,13606.0489853612,18424.5906343634,19021.9648171426,21963.8566584576,25340.9872636575,28824.0832696284,34573.8525426526,36098.6596464247,36122.4034649313,36398.4215015929,38129.5526676753
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,1.88518435500585E-05,1.83132792243081E-05,1.78280640113073E-05,1.73702063441552E-05,2.53651803882851E-05,2.4647862155352E-05,6.37275215108266E-05,0.000200488188739581,0.00200690344944178,0.0448079266537156,0.957460631071819,56.9048385115013,116.096971690799,163.294122321279,1076.56751829463,5575.48347039376,11606.1775161503,30957.8823317987,58153.2462479885,86973.8524633785,125857.03690088,165752.386970566,220824.369846069,290272.626752,265578.505856459,324340.130576528,403826.486003609,438769.612071971,463733.453751278,462936.674275995,442274.529102575,541264.547062601
Albania,ALB,,,,,,,,,,,,,,,,,,,,,5815.12625201301,5896.06372723084,5941.93539581895,5880.53267275208,5684.42199826541,5687.80886964957,5753.25836563131,5595.07433669358,5412.53386016009,5787.27688190281,5115.71119431914,5021.44297613253,16394.0134380893,38837.5748112889,58577.9886804076,70501.952735819,109343.313374577,109964.068010448,130799.074773136,151692.556496475,169323.019546284,190632.558943563,204099.876958778,228350.279245799,248112.564045724,270562.917223285,294801.982859417,325812.961238942,366664.6754299,390752.872176064,425552.917297884,447689.081214858,459526.454893651,466324.605884718,482954.103486756,495642.571761129,512079.026431965
Andorra,AND,,,,,,,,,,,1362.46086669962,1460.48749951094,1629.09415439536,1870.82742986682,2191.05352303523,2473.33984693047,2875.97004122479,3538.50050349394,4206.96861013131,4768.53064506864,5333.42667812682,5755552,6345.65884338089,6915.52842146475,7467.66964829298,7945.43049327354,8721.54051207086,9362.45795067589,10014.4803109014,10790.9205308115,11564.9727567925,12198.0713239576,12643.0070642576,12633.4486887209,13070.644734113,13834.7220046985,14477.7750155376,16150.6925552256,16965.3908515481,18079.0414789498,23809.9097721364,24840.735955807,26290.3110679667,29039.9278511109,31010.7024815067,33194.8723800829,34872.1462878591,35494.5998572863,32623.2694577933,31195.6856337761,30000.9473173158,29566.4529378754,29879.7782387694,30594.7665494875,31877.7375257185,32495.7058989412,33437.7143152909
Arab World,ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,,,,,,,,,,,,,,,,105196.599822487,117399.832751881,129768.472043811,107996.132644656,125149.153396916,155065.69555941,161569.274689981,143880.223110517,125397.826121654,116404.672660446,107153.434954265,84638.9597192807,85581.7642905381,80422.7921748903,86682.3876180709,100057.844051148,96063.7067734131,95422.3514465128,92506.812297698,93490.0626361819,98555.6308752787,105047.802039657,107191.454846464,97921.0012173444,103784.868424135,121454.234252795,114073.466521068,114990.9672357,122039.096381228,132801.89905358,144842.672727217,155611.984055038,156715.172085286,168049.580579721,121459.032298501,128717.997193461,148597.841146847,154657.185415169,159205.23524574,163241.671430085,143601.165452046,138167.556883719
Argentina,ARG,6.37802212756877E-09,7.96098776327696E-09,1.00121717291718E-08,1.17229106172278E-08,1.63739299694374E-08,2.1624178897376E-08,2.659324520314E-08,3.49059353128873E-08,3.97781234762768E-08,4.63429019553387E-08,5.00645333482278E-08,6.83177372368609E-08,1.12119023115449E-07,1.87557500689713E-07,2.54218583801146E-07,7.44324950670341E-07,3.86518145483321E-06,1.05625058026461E-05,2.59776285341664E-05,6.9791314336315E-05,0.000136640404400096,0.000261857705513881,0.000753690756638609,0.0037172287867575,0.0264336933135443,0.174570992198009,0.32355773574594,0.744810946320066,3.49300814954511,100.548105523752,2105.79129152237,5449.73344213238,6734.12531115965,6933.41000771102,7449.48038977242,7373.42824568235,7683.57406483774,8172.66432306173,8248.76198864344,7736.36962254054,7669.27391554066,7170.69467365192,8249.8072678432,9812.46655029308,12525.9883446631,14881.3618800716,18097.1779466006,22441.209588918,28468.996487553,30586.9462489982,40309.659428299,52308.8660482702,62663.1399691078,78709.788233054,106536.180155585,134829.935377834,183596.745113682
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.219235111986,22.7344632381533,90.0979142038045,1254.32265131733,56968.4462155034,162325.295476825,208700.805500889,256722.922192369,307327.791309763,319662.757278448,335985.904297254,385450.599953125,449083.044018963,538352.26651415,635852.08617442,752326.751885697,897816.393442623,1073720.85633551,1226945.55432533,1087609.36154185,1202582.09835503,1313802.53242736,1480421.91981601,1574433.74117724,1661479.96366414,1729077.70102333,1736815.10221498
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8751.76652874972,8914.52543261668,8639.30885529158,8508.40691498359,8456.94799658994,8980.53641434813,9871.99719445906,12058.26382343,10352.8227618312,10375.9942154736,11660.329531052,11589.8530023324,11598.7517362051,11865.9632317194,11834.7452292307
